chr	start	end	strand	genes	LL_mean	k_mean	n	size
chr5	130029290	130341563	+	['Tyw1' 'Crcp' 'Tpst1' 'Kctd7' 'Rabgef1' 'Tmem248']	0.8896658409542854	0.00021549954221739367	6	312273
chr9	50596357	50775520	-	['Sdhd' 'Nkapd1' 'Dlat' 'Dixdc1' '2310030G06Rik' '1110032A03Rik']	0.8912250699742845	0.0005228233175004897	6	179163
chr17	34809092	34898265	-	['C4a' 'Stk19' 'Skiv2l' 'Cfb' 'Gm20547' 'C2']	0.84163173178809	0.005907741740968091	6	89173
chr13	67424549	67553830	-	['Zfp874a' 'Zfp874b' 'Zfp58' 'Gm26965' 'Zfp87' 'Zfp748']	0.8618815292331136	0.00017995335922079683	6	129281
chr9	107983058	108058592	+	['Gm20529' 'Amigo3' 'Gm20661' 'Gm20662' 'Ip6k1' 'Gmppb']	0.7606435482902446	0.0003754355985216165	6	75534
chr9	107975505	108058592	+	['Gm20529' 'Amigo3' 'Uba7' 'Gm20662' 'Ip6k1' 'Gmppb']	0.8139449686791357	0.00036563477989517675	6	83087
chr8	45241174	45411080	-	['F11' 'Klkb1' 'Gm45753' 'Cyp4v3' 'Fam149a' 'Tlr3']	0.8292607337984687	0.0025786133828461233	6	169906
chr3	95181766	95357202	-	['Gabpb2' 'Mllt11' 'Bnipl' 'Prune1' 'Anxa9' 'Setdb1']	0.7615827897623445	0.00020875165711664164	6	175436
chr3	90213695	90363407	+	['Rab13' 'Jtb' 'Slc39a1' 'Crtc2' 'Dennd4b' 'Gatad2b']	0.925434155789666	0.00044185083327200845	6	149712
chr11	70644196	70700155	-	['Spag7' 'Camta2' 'Inca1' 'Slc25a11' 'Pfn1' 'Gm12319']	0.964747488487594	0.0011321851007427162	6	55959
chr17	35823230	35932283	+	['Flot1' 'Mdc1' 'Ppp1r18' 'Dhx16' 'Gm16279' 'Ppp1r10']	0.8810648805725482	2.617394716942615e-05	6	109053
chr17	47505051	47704286	+	['Ccnd3' 'Med20' 'Gm20517' 'Usp49' 'Tomm6os' 'Frs3']	0.8475641461353124	0.0005480588454736137	6	199235
chr11	101009452	101092207	+	['Atp6v0a1' 'Naglu' 'Hsd17b1' 'Coasy' 'Mlx']	0.9428508118021879	0.0002585081631392341	5	82755
chr3	104135785	104190193	-	['Gm42702' 'Gm43258' 'Gm43259' 'Gm43260' 'Gm43256']	0.8691587643284441	0.0003614951133212883	5	54408
chr7	141447370	141493427	+	['Rplp2' 'Pnpla2' 'Cracr2b' 'Cd151' 'Tspan4']	0.7874864658311627	0.007510288450446023	5	46057
chr5	123509765	123749414	-	['Vps33a' 'Clip1' 'Zcchc8' 'Rsrc2' 'Diablo']	0.9060926554770689	0.00016461593811147008	5	239649
chr2	30240567	30447806	+	['Nup188' 'Miga2' 'Dolpp1' 'Ptpa' 'Gm28035']	0.9503240817779618	0.0009088555777459357	5	207239
chr8	105258286	105347953	-	['Tradd' '4931428F04Rik' 'Exoc3l' 'Lrrc29' 'Fhod1']	0.8896039155097928	8.616968166597065e-05	5	89667
chr15	75884137	75929832	-	['Mroh6' 'Naprt' 'Eef1d' 'Pycrl' 'Tsta3']	0.91246651978208	0.002198050519563451	5	45695
chr2	26888628	26964386	-	['Surf6' 'Med22' 'Surf1' 'Surf4' 'Rexo4']	0.9752065618084975	0.00044059559661990924	5	75758
chr2	24949792	25085716	+	['Zmynd19' 'Dph7' 'Pnpla7' 'Nsmf' 'Entpd8']	0.8910699858418892	0.0003410669820703012	5	135924
chr19	4192065	4233634	+	['Ppp1ca' 'Gm30082' 'Clcf1' 'Gm45928' 'Pold4']	0.7941933088675741	0.00031383920846308913	5	41569
chr5	110648418	110839777	-	['Noc4l' 'Ep400' 'Pus1' 'Ulk1' 'Hscb']	0.8271903654622502	0.0007972849214762517	5	191359
chr15	76659858	76717699	+	['Kifc2' 'Ppp1r16a' 'Gpt' 'Mfsd3' 'Lrrc14']	0.8758873746931298	0.0004339098610219983	5	57841
chr7	126986860	127027037	-	['Mvp' 'Pagr1a' 'Gm42742' 'Prrt2' 'Maz']	0.824900103960412	0.000535342253990124	5	40177
chr17	35113948	35164897	-	['Ly6g5b' 'Csnk2b' 'Gm20522' 'Apom' 'Prrc2a']	0.9441172277053956	0.00015499501502790023	5	50949
chr10	128490860	128589652	-	['Myl6' 'Esyt1' 'Zc3h10' 'Pa2g4' 'Erbb3']	0.9379802617113364	0.0007532716602346624	5	98792
chr17	33938821	34000347	-	['Pfdn6' 'B3galt4' 'Rps18' 'H2-K2' 'H2-K1']	0.9421045151792333	0.0009375083893531066	5	61526
chr11	59155369	59228270	-	['Iba57' 'Gjc2' 'Guk1' '2610507I01Rik' 'Arf1']	0.8764976156736036	0.0002137167272066216	5	72901
chr10	81233155	81335172	+	['Zfr2' 'Apba3' 'Pip5k1c' 'Cactin' 'Tbxa2r']	0.8183804925814193	0.00021554167562870167	5	102017
chr3	89391850	89469013	+	['Gm15417' 'Shc1' 'Pygo2' 'Pbxip1' 'Pmvk']	0.8602796713164634	0.001229327544787487	5	77163
chr5	123512082	123749414	-	['Vps33a' 'Clip1' 'Zcchc8' 'Rsrc2' 'Gm49027']	0.9039405010745911	0.00016633955488413245	5	237332
chr7	127744543	127803802	+	['Fbxl19' 'Orai3' 'Setd1a' 'Gm49388' 'Hsd3b7']	0.9009129478082183	0.0008709121673159166	5	59259
chr7	34140688	34313551	-	['Uba2' 'Pdcd2l' 'Gpi1' 'Gm12762' '4931406P16Rik']	0.9019386450590003	0.0004711894173078988	5	172863
chr10	75646112	75798584	-	['Gstt1' 'Cabin1' 'Ddt' 'Gm20441' 'Gstt3']	0.8758867951780788	0.00023787082177927763	5	152472
chr7	44975989	45062677	-	['Prmt1' 'Bcl2l12' 'Scaf1' 'Prr12' 'Prrg2']	0.9486891504559878	0.00011898072918105687	5	86688
chr10	80115803	80175146	+	['Stk11' 'Atp5d' 'Midn' 'Cirbp' '1600002K03Rik']	0.9194198314231082	1.8772857814749388e-05	5	59343
chr15	78877190	78943638	+	['Gga1' 'Gm49510' 'Sh3bp1' 'Lgals1' 'Nol12']	0.7402132645056311	0.00021695001407014258	5	66448
chr16	18220753	18348103	-	['Zdhhc8' 'Ranbp1' 'Gm49776' 'Dgcr8' 'Tango2']	0.8847664952171709	0.00015299836870535436	5	127350
chr11	113244853	113751881	-	['Cpsf4l' 'Cdc42ep4' 'Slc39a11' 'Fam104a']	0.7958509885330844	0.00022112118706400804	4	507028
chr14	46775567	46832027	-	['Cnih1' 'Gm48939' 'Gmfb' 'Gm10101']	0.9550927279682073	0.00017192252321312948	4	56460
chr17	34020792	34031682	-	['Ring1' 'H2-Ke6' 'Gm20427' 'Slc39a7']	0.9875386740678116	0.0006568084157165958	4	10890
chrX	7841364	7908351	+	['Timm17b' 'Otud5' 'Pim2' 'Slc35a2']	0.8597012502426067	0.0005711811481147833	4	66987
chr7	80325292	80405436	-	['Unc45a' 'Man2a2' 'Fes' 'Furin']	0.8738760226270187	0.001741762878321933	4	80144
chr5	150560209	150666183	-	['N4bp2l2' 'Gm42529' 'N4bp2l1' 'Gm43597']	0.8927843986325612	0.00026311170969979915	4	105974
chr17	32879219	32965718	-	['Zfp870' 'Cyp4f14' 'Cyp4f13' 'Cyp4f41-ps']	0.8531685635250975	0.000994858158285351	4	86499
chr17	32196274	32389439	-	['Brd4' 'Akap8' 'Akap8l' 'Wiz']	0.9184415726267907	0.00026468526658529205	4	193165
chr3	88394143	88509956	-	['Pmf1' 'Slc25a44' 'Sema4a' 'Lmna']	0.9120345124967586	0.0005575380122630051	4	115813
chr6	72318678	72390703	-	['Rnf181' 'Vamp5' 'Vamp8' 'Usp39']	0.9342542063270189	0.00033246894962132937	4	72025
chr2	156084610	156180238	-	['Rbm12' 'Nfs1' 'Rbm39' 'Gm37274']	0.9661807301667193	0.00018750066814257323	4	95628
chr5	145083830	145182041	+	['Bud31' 'Cpsf4' 'Arpc1a' 'Arpc1b']	0.9462655164327946	0.00013669418986088843	4	98211
chr9	56950878	57142722	+	['Ptpn9' 'Sin3a' 'Man2c1' 'Snupn']	0.8480706150529951	6.739566306695728e-05	4	191844
chr8	84210678	84270380	-	['Zswim4' 'D8Ertd738e' 'Mri1' 'Ccdc130']	0.9333369031778478	0.00042152795666423057	4	59702
chr11	96303336	96354012	+	['Hoxb4' 'Hoxb3' 'Hoxb2' 'Hoxb5']	0.8001375265714029	7.844251322150278e-05	4	50676
chr10	82128013	82201488	+	['Gm47572' 'Gm47573' 'Gm15608' 'AU041133']	0.705365975234069	4.508215756042025e-05	4	73475
chr11	70216789	70239830	-	['Slc16a13' 'Bcl6b' '0610010K14Rik' 'Gm21988']	0.8592588529863463	0.00020105311503400625	4	23041
chr8	70758649	70805054	-	['Ifi30' 'Pik3r2' 'Mast3' 'Mpv17l2']	0.9039445055153533	0.0011273078466425414	4	46405
chr14	54541785	54618022	-	['Haus4' 'Ajuba' '4931414P19Rik' 'Psmb5']	0.8487833650291127	0.0001988688478729288	4	76237
chr14	55540266	55603693	+	['Psme1' 'Rnf31' 'Pck2' 'Dcaf11']	0.8690938043372686	6.420919796369532e-05	4	63427
chrX	20617503	20720539	+	['Rbm10' 'Uba1' 'Cdk16' 'Usp11']	0.8517109299296242	0.000260790268204522	4	103036
chr4	148448611	148615499	+	['Masp2' 'Mtor' 'Exosc10' 'Srm']	0.8574052487411733	0.00023067389225919798	4	166888
chr11	70943058	71019841	-	['Nup88' 'C1qbp' 'Dhx33' 'Derl2']	0.9170960487162857	0.001180707597714059	4	76783
chr5	24364810	24502047	+	['Abcb8' 'Slc4a2' 'Nos3' 'Agap3']	0.9135530205706547	0.00016427832520501698	4	137237
chr3	89377644	89418383	-	['Zbtb7b' 'Lenep' 'Flad1' 'Cks1b']	0.9559399263470536	0.00013670940999064047	4	40739
chr5	24418241	24451709	-	['Cdk5' 'Fastk' 'Tmub1' 'Gm10472']	0.9378818717873726	0.0010893208253596979	4	33468
chr8	71882019	71993792	+	['Zfp709' 'Zfp882' 'Zfp617' 'Zfp961']	0.8190626142850593	2.191636552007603e-05	4	111773
chr9	65294260	65380377	+	['Gm39363' 'Pdcd7' 'Ubap1l' 'Clpx']	0.8462288654204874	0.0012274325310195678	4	86117
chr7	80186841	80291754	+	['Sema4b' 'Gdpgp1' 'Ngrn' 'Vps33b']	0.9271937971539544	0.0002789932429061716	4	104913
chr17	26561489	26792565	+	['Ergic1' 'Atp6v0e' 'Crebrf' 'Bnip1']	0.8962843764749351	0.002291960723601448	4	231076
chr4	115737744	115879250	+	['Mob3c' 'Mknk1' 'Efcab14' 'Atpaf1']	0.8841583478781989	0.0007787668923620232	4	141506
chr15	76047158	76120195	-	['Nrbp2' 'Eppk1' 'Scrib' 'Puf60']	0.9223976571299121	0.0004093783288593127	4	73037
chr11	78499091	78541737	+	['Poldip2' 'Ift20' 'Vtn' 'Sebox']	0.9424424395100051	0.0002465262306786528	4	42646
chr4	21727701	21912162	+	['Ccnc' 'Usp45' 'Pnisr' 'Coq3']	0.8743674744280718	0.0005016886602026049	4	184461
chr5	115506676	115647736	+	['Pxn' 'Rplp0' 'Gcn1' 'Rab35']	0.9683392947503471	0.00020440800614697187	4	141060
chr16	45711230	46010218	-	['Phldb2' 'Plcxd2' 'Tagln3' 'Abhd10']	0.8438694089843432	0.00021842586176069837	4	298988
chr9	37489319	37649655	+	['Siae' 'Msantd2' 'Esam' 'Vsig2']	0.8268065846149424	0.0005287556218800625	4	160336
chr16	36828385	36963212	+	['Golgb1' 'Hcls1' 'Iqcb1' 'Gm49599']	0.7569953492355382	0.00040795564737763717	4	134827
chr5	115102923	115158179	-	['Unc119b' 'Mlec' 'Rpl37rt' 'Acads']	0.9346622146380821	0.0001531289084680973	4	55256
chr16	17835276	17928219	-	['Dgcr2' 'Ess2' 'Slc25a1' 'Car15']	0.953137944788828	0.00011669321472843549	4	92943
chr4	49447105	49549546	-	['Acnat1' 'Baat' 'Mrpl50' 'Aldob']	0.9105781351491644	0.002161073871260303	4	102441
chr8	106893636	107060931	+	['Vps4a' 'Nip7' 'Utp4' 'Sntb2']	0.8709647974587215	0.00016014482225336837	4	167295
chr5	92284010	92365485	-	['Cxcl10' 'Cxcl11' 'Sdad1' 'Cxcl9']	0.7800700034531417	0.0001407620052262229	4	81475
chr15	79015329	79062893	-	['Gm3924' 'Ankrd54' 'Gm17753' 'Gm49544']	0.8721036186857999	8.28406587426373e-05	4	47564
chr7	80890723	80947780	-	['Gm45718' 'Wdr73' 'Nmb' 'Sec11a']	0.9690119648981463	0.0002522880699668745	4	57057
chr3	94933056	95020138	+	['4930481B07Rik' 'Selenbp1' 'Rfx5' 'Pi4kb']	0.9672942822318706	0.0001945241504151249	4	87082
chr4	132311763	132422489	-	['Trnau1ap' 'Rcc1' 'Snhg3' 'Phactr4']	0.9479902282031865	0.00012822668265249435	4	110726
chr17	24840143	24897502	+	['Spsb3' 'Mrps34' 'Hagh' 'Igfals']	0.8597896539166674	0.0007378883078176984	4	57359
chr3	95588934	95663176	+	['Ensa' 'E330034L11Rik' 'Mcl1' 'Golph3l']	0.9307854302543923	0.00020697476290178196	4	74242
chr9	50751325	50894229	+	['Fdxacb1' 'Alg9' 'Ppp2r1b' 'Cryab']	0.808141031652311	0.0008732826591768447	4	142904
chr5	135089890	135246129	+	['Mlxipl' 'Tbl2' 'Bcl7b' 'Baz1b']	0.9502324833104503	0.00016733293330109533	4	156239
chr12	85234520	85374847	-	['Acyp1' 'Nek9' 'Tmed10' 'Mlh3']	0.8808056325259073	3.0474433323277305e-05	4	140327
chr11	101425085	101471853	+	['Rnd2' 'Rundc1' 'Rpl27' 'Ifi35']	0.871695221176261	0.0021003339912808445	4	46768
chr9	20873808	20976781	-	['S1pr2' 'Angptl6' 'Eif3g' 'Dnmt1']	0.8891024699194737	0.0013369831211817733	4	102973
chr10	127332391	127517154	+	['Gm47200' 'R3hdm2' 'Stac3' 'Ndufa4l2']	0.7991831777530718	0.0002568031223551406	4	184763
chr11	115584255	115708597	-	['Grb2' 'Gga3' 'Mif4gd' 'Slc25a19']	0.9561688140911357	2.792301525027379e-05	4	124342
chr10	127041414	127093169	+	['A730063M14Rik' 'Agap2' 'Mettl1' 'Cdk4']	0.7870776618518756	0.0005211800890862976	4	51755
chr15	68321381	68363176	-	['Gm37320' 'Gm26621' 'Gm37296' 'Gm20732']	0.9514125901923584	0.00014354094567344203	4	41795
chr9	21062400	21149982	-	['Raver1' 'Tyk2' 'Cdc37' 'Gm49373']	0.9285359178326523	6.999057666597132e-05	4	87582
chr18	31759826	31958619	+	['Wdr33' 'Lims2' 'Ammecr1l' 'Polr2d']	0.9199116293962206	0.000237189544923625	4	198793
chr7	28359604	28598144	-	['Med29' 'Samd4b' 'Plekhg2' 'Zfp36']	0.8541652442835233	0.00021677199385160723	4	238540
chr10	80755206	80829290	+	['Sf3a2' 'Amh' 'Oaz1' 'Dot1l']	0.9759515805661106	0.0013447365924546836	4	74084
chr7	127863047	127895617	-	['Zfp668' 'Prss53' 'Gm21974' 'Vkorc1']	0.9814285735489072	0.0007210431686692303	4	32570
chr2	112261926	112414240	+	['Slc12a6' 'Gm21985' 'Katnbl1' 'Nop10']	0.8721585404169521	4.998190920282178e-05	4	152314
chr11	50025346	50235103	+	['Mgat4b' 'Rnf130' 'Tbc1d9b' 'Mrnip']	0.8958023754714693	0.003502142279504206	4	209757
chr10	80380355	80433647	-	['Mex3d' 'Mbd3' 'Uqcr11' 'Tcf3']	0.9429151439443718	0.00014109360488297255	4	53292
chr9	108296853	108392545	+	['Amt' 'Rhoa' 'Gpx1' 'Usp4']	0.9264049875178283	0.0005329115617748566	4	95692
chr11	59775286	59839838	-	['Gm12264' 'Pld6' 'Flcn' 'Cops3']	0.8001178060787227	0.00365626388946439	4	64552
chr8	8629175	8690521	-	['E230020D15Rik' 'Gm45074' 'Gm45073' 'Arglu1']	0.792200423332869	0.000100178163539891	4	61346
chr10	128669894	128744855	-	['Cdk2' 'Dgka' 'Suox' 'Rab5b']	0.8597222184217936	0.00017772179959950278	4	74961
chr18	35553371	35617187	+	['Paip2' 'Snhg4' 'Matr3' 'Gm36989']	0.9445338578687517	0.0007681050102379468	4	63816
chr8	3567990	3643644	+	['Camsap3' 'Pet100' 'Stxbp2' 'C330021F23Rik']	0.8442776076198699	0.0008287495202192023	4	75654
chr10	80540922	80590341	-	['Rexo1' 'Klf16' 'Abhd17a' 'Gm29093']	0.9302889258823561	0.00028610011050081305	4	49419
chr1	119470305	119837613	-	['Ralb' 'Gm27184' 'Epb41l5' 'Ptpn4']	0.7569296905511136	0.00011661972909279291	4	367308
chr7	126672865	126707787	-	['Sult1a1' 'Gm6939' 'Slx1b' 'Coro1a']	0.7972163855317128	0.0006480012593184658	4	34922
chr2	91137360	91236982	-	['Madd' 'Nr1h3' 'Gm13783' 'Ddb2']	0.8927203278921637	0.00026672382267913896	4	99622
chr2	12924041	13014236	+	['Gm37811' 'Gm37356' 'Pter' 'Gm37824']	0.9170643163855428	0.007605053824689759	4	90195
chr7	127511983	127604799	+	['Tmem265' 'Phkg2' 'Rnf40' 'Srcap']	0.9891204705982511	0.0001061685597073819	4	92816
chr10	81346048	81455635	-	['Nfic' '4930404N11Rik' 'Fzr1' 'Hmg20b']	0.9335428061083431	5.661751310054734e-05	4	109587
chr1	160570161	160612450	-	['Gm37215' 'Gm38302' '6720464F23Rik' 'Gm37212']	0.8738283290107274	0.00020405484233885715	4	42289
chr7	126759601	126785560	+	['Gdpd3' 'Ypel3' 'Tbx6' 'Mapk3']	0.9029274253536053	0.0002923557011096725	4	25959
chr19	43675178	43840740	+	['BC037704' 'Entpd7' 'Cutc' 'Abcc2']	0.8287745738447552	0.0007185362019735299	4	165562
chr9	106429454	106485424	+	['Rrp9' 'Rpl29' 'Abhd14b' 'Pcbp4']	0.957477716816967	0.0008007156294220688	4	55970
chr14	30714849	30902353	+	['Itih4' 'Sfmbt1' 'Stimate' 'Mustn1']	0.9257924153920305	0.0007667559500178194	4	187504
chr1	130634773	130729253	-	['Pfkfb2' 'C4bp' 'Gm29427' 'C4bp-ps1']	0.7996419033698612	0.0021997658208238445	4	94480
chr11	61729650	61930252	-	['Prpsap2' 'Ulk2' 'A530017D24Rik' 'Akap10']	0.9570956377383465	0.00015363105728976174	4	200602
chr2	25573430	25628030	-	['Tmem141' 'Fcna' 'Phpt1' 'Rabl6']	0.8968381193714262	0.00026865476598472704	4	54600
chr1	133603871	133661380	-	['Snrpe' 'Zc3h11a' 'Zc3h11a' 'Gm38394']	0.9852043761500342	0.00011596955253359706	4	57509
chr10	80226434	80294114	+	['Ndufs7' 'Dazap1' 'Rps15' 'Pwwp3a']	0.9601012856092692	0.0009101938516520647	4	67680
chr8	70131333	70183681	+	['Tmem161a' 'Nr2c2ap' 'Borcs8' 'Mef2b']	0.86185715959486	0.0009147209768572626	4	52348
chr14	20455260	20641063	-	['Anxa7' 'Mss51' 'Ppp3cb' 'Usp54']	0.8037726529702639	0.001206176209525213	4	185803
chr10	81357491	81391560	+	['Mfsd12' 'Dohh' 'Gm48551' 'Gm48552']	0.8928967821255	0.00019059048264358436	4	34069
chr8	25944453	26119224	-	['Hgsnat' 'Pomk' 'Fnta' 'Hook3']	0.9089651623519545	0.0003218200249711314	4	174771
chr15	76879259	76906314	+	['Zfp7' 'Commd5' 'Rpl8']	0.9254686872420024	7.355178895458344e-05	3	27055
chr11	121204433	121309896	+	['Narf' 'Foxk2' 'Hexdc']	0.9021629283839734	0.002640313743730903	3	105463
chr8	109548011	109608673	-	['Hp' 'Dhodh' 'Dhx38']	0.8650367569481769	0.0003642630212946708	3	60662
chr5	108629770	108706924	+	['Tmem175' 'Idua' 'Fgfrl1']	0.8214536976964043	0.0016172171859406587	3	77154
chr15	77369494	77411135	-	['Gm3787' 'Apol7a' 'Apol9a']	0.8762809838212146	0.000522369269535669	3	41641
chr7	27447978	27490316	+	['Sertad1' 'Blvrb' 'Sertad3']	0.9551667621196621	0.00035305322183815926	3	42338
chr7	25711106	25788705	-	['Axl' 'Ccdc97' 'Hnrnpul1']	0.9180889783076497	0.00014996947318449556	3	77599
chr13	37616964	37667734	-	['Gm40916' 'AI463229' 'Gm40915']	0.7659195922211733	0.003122598058469266	3	50770
chr7	25199915	25250761	-	['Gsk3a' 'Erf' 'Dedd2']	0.9794153277894573	0.0002264607993154523	3	50846
chr5	112276691	112378414	+	['Tpst2' 'Tfip11' 'Hps4']	0.9382992419046525	0.000905005807874173	3	101723
chr5	108569411	108675569	-	['Dgkq' 'Slc26a1' 'Gak']	0.9092394129943012	0.00042931060012550313	3	106158
chr5	104459450	104554207	+	['Pkd2' 'BC005561' 'D930016D06Rik']	0.8756272788368676	0.000164102789920389	3	94757
chr5	100361649	100500639	-	['Lin54' 'Sec31a' '5430416N02Rik']	0.8841397143974813	0.0007590547788639731	3	138990
chr7	140835018	140898643	+	['Ric8a' 'Psmd13' 'Urah']	0.9552229753126603	0.0005796371315215169	3	63625
chr5	115327177	115353155	+	['Srsf9' 'Triap1' 'Gm42903']	0.8273651571576258	0.00046174303470787777	3	25978
chr7	27807196	27880825	+	['Zfp59' 'Zfp607a' 'Zfp626']	0.7187601464686408	0.0008894475663347674	3	73629
chr7	111067750	111122684	-	['1700012D14Rik' 'Gm45378' 'Eif4g2']	0.888126650366626	3.307827603266269e-06	3	54934
chr6	86849517	87092197	+	['Nfu1' 'Gfpt1' 'Aak1']	0.842398773946036	1.6938716564697423e-05	3	242680
chr13	23806993	23895730	+	['Slc17a2' 'Slc17a3' 'Slc17a1']	0.8891460630201151	0.0015486893186686737	3	88737
chr7	30169875	30200889	+	['Cox7a1' 'Gm26810' 'Gm5113']	0.7611414324703367	0.0003336320615400611	3	31014
chr5	33600347	33658416	-	['Fam53a' 'Slbp' 'Tmem129']	0.9489682373348708	0.00043980364449128505	3	58069
chr15	83299739	83464606	-	['Arfgap3' '1700001L05Rik' 'Pacsin2']	0.7342791672854337	0.00034137771073465523	3	164867
chr11	97663414	97713500	+	['Mllt6' 'Cisd3' 'Psmb3']	0.9530368431328927	0.0002857141256013336	3	50086
chr7	126850960	126922917	-	['Ino80e' 'Taok2' 'Tmem219']	0.992272605978216	5.483446799982287e-05	3	71957
chr12	73123717	73361997	+	['Mnat1' 'Slc38a6' 'Gm48653']	0.7921479561849969	3.629448046076259e-05	3	238280
chr8	123042466	123105244	+	['2810013P06Rik' 'Spg7' 'Rpl13']	0.9424506283116791	0.0002918054412964929	3	62778
chr15	89476236	89560261	+	['AC137513.1' 'Shank3' 'C230037L18Rik']	0.8705179252306947	0.000671385351245757	3	84025
chr7	127001480	127027037	-	['Maz' 'Pagr1b' 'Prrt2']	0.8229702580760277	0.0005303536375077499	3	25557
chr7	127233061	127275315	+	['Gm44729' 'Zfp553' 'Zfp771']	0.8719865094673874	0.00017688151561969073	3	42254
chr7	30308717	30323472	+	['Alkbh6' 'Syne4' 'E130208F15Rik']	0.898815616237654	0.0013485250725403782	3	14755
chr7	46888949	46958527	-	['Tsg101' 'Uevld' 'Gm45737']	0.7827342383505406	0.00024369500794178576	3	69578
chr11	100694884	100738215	-	['Dhx58' 'Kat2a' 'Rab5c']	0.9142112204920972	0.00051636521259919	3	43331
chr15	80711313	81012290	+	['Sgsm3' 'Tnrc6b' 'Adsl']	0.8265085289312308	0.00010658728680678817	3	300977
chr7	127876221	127925837	+	['Bckdk' 'Kat8' 'Zfp646']	0.992521356088537	0.0006142932710665258	3	49616
chr5	35551260	35588763	-	['4931431C16Rik' 'Gm43860' 'Trmt44']	0.8173031491634594	0.0002658413275523519	3	37503
chr5	52741574	52867797	+	['Pi4k2b' 'Zcchc4' 'Anapc4']	0.8178162906564482	0.0003178520831770326	3	126223
chr7	31032722	31057199	-	['Fxyd1' 'Fxyd5' 'Fxyd7']	0.771233094692783	0.0005334067071624168	3	24477
chr15	81848272	81926240	-	['Tob2' 'Phf5a' 'Polr3h']	0.8240779440120467	0.0008796718341261925	3	77968
chr5	45493374	45533111	+	['Lap3' 'Med28' 'Gm42521']	0.9923443683478589	0.0007178264202038197	3	39737
chr7	31098725	31155896	-	['Hpn' 'Scn1b' 'Gramd1a']	0.8325024284623224	0.000582955112759997	3	57171
chr5	44664694	44706890	-	['Gm43504' 'Gm43503' 'Gm3364']	0.7112012291008222	0.00040122738453075667	3	42196
