chr	start	end	strand	genes	LL_mean	k_mean	n	size	corr
chr9	110305173	110384950	+	['Scap' 'Elp6']	0.8265309390859101	0.002774711389491696	2	79777	0.6476248808787518
chr4	149149991	149307693	-	['Pgd' 'Kif1b']	0.9327757388118754	0.0024949909753661805	2	157702	0.6473864193241392
chr4	49447105	49549546	-	['Acnat1' 'Baat' 'Mrpl50' 'Aldob']	0.9105781351491644	0.002161073871260303	4	102441	0.6445296145004098
chr11	101253707	101277409	+	['Wnk4' 'Vps25']	0.7823424308683017	0.001051817947258038	2	23702	0.6439155258826834
chr5	125441568	125517410	+	['Gm43756' 'Aacs' 'Bri3bp']	0.8387955535048576	0.006882882035333906	3	75842	0.6374315433205677
chr10	89574020	89686285	-	['Slc17a8' 'Scyl2']	0.8508391994988287	0.003384417583095751	2	112265	0.6338665818707251
chr5	121566027	121660514	-	['Aldh2' 'Acad12' 'Acad10']	0.8073267689549484	0.0010839615059613662	3	94487	0.623900642448567
chr9	65435782	65488470	+	['Spg21' 'Mtfmt' 'Gm47270']	0.8380140615695288	0.0016703344320615002	3	52688	0.6205047508953985
chr19	41922292	41981157	-	['Exosc1' 'Mms19']	0.8927751908924	0.0013091364546266608	2	58865	0.6203075976163475
chr2	25926838	26021747	-	['Camsap1' 'Ubac1']	0.9252169671858603	0.0012305011668092276	2	94909	0.6154795743768443
chr19	3322334	3407823	+	['Cpt1a' 'Tesmin']	0.7918981969709794	0.002616231521461322	2	85489	0.6146903483534749
chr14	61331742	61439874	-	['Ebpl' 'Kpna3']	0.9251552062038938	0.002498880766779558	2	108132	0.6135625692386126
chr3	97609932	97655282	+	['Gm43075' 'Fmo5']	0.8422617427530172	0.0036091468305560967	2	45350	0.6063517472729072
chr10	59422958	59616692	-	['Mcu' 'Oit3']	0.8777318455928148	0.003054650099711527	2	193734	0.5915886100558861
chr6	120912900	121130999	-	['Mical3' 'Gm44260']	0.9126151978326013	0.0015237223299930192	2	218099	0.5887718520758347
chr19	3896050	3912774	-	['Tcirg1' 'Ndufs8']	0.9378907255809533	0.0012017409310223384	2	16724	0.5833088666048521
chr10	84576626	84727178	+	['Tcp11l2' 'Polr3b']	0.7505769038494485	0.0012303970137510884	2	150552	0.5828757654043489
chr15	98724366	98763214	-	['Fkbp11' 'Arf3']	0.7920285546000316	0.001283668800084623	2	38848	0.5824832205890674
chr11	70644196	70700155	-	['Spag7' 'Camta2' 'Inca1' 'Slc25a11' 'Pfn1' 'Gm12319']	0.964747488487594	0.0011321851007427162	6	55959	0.5817440416106883
chr2	4881564	4938730	+	['Phyh' 'Sephs1']	0.9228616256716954	0.0029066674454795082	2	57166	0.5805785594394127
chr4	133253090	133353481	-	['Sytl1' 'Tmem222' 'Wdtc1']	0.867644762245976	0.002345661421947912	3	100391	0.5785285691718811
chr2	155517948	155594955	+	['Acss2' 'Gssos1']	0.691554460014564	0.0011609478086659058	2	77007	0.5662467904243765
chr6	120891930	121130999	-	['Mical3' 'Bid']	0.9094591350379846	0.001448007365383442	2	239069	0.5579351824371956
chr2	9914552	10131396	-	['Atp5c1' 'Itih2' 'Taf3']	0.9232246151522879	0.001684296706705244	3	216844	0.5563980715938609
chr2	165276554	165326479	-	['Slc35c2' 'Elmo2']	0.9415779924523122	0.0013411990050457541	2	49925	0.5560676418840167
chr11	50025346	50235103	+	['Mgat4b' 'Rnf130' 'Tbc1d9b' 'Mrnip']	0.8958023754714693	0.003502142279504206	4	209757	0.5466766313458162
chr16	33185071	33300269	+	['Osbpl11' 'Snx4']	0.9337770860465946	0.0025192728603534776	2	115198	0.5459708582838664
chr5	93093437	93179059	+	['Sept11' 'Gm43682']	0.7745972098957892	0.001103430897926339	2	85622	0.5458958595990964
chr6	88738192	88745615	+	['Gm44005' 'Gm43999']	0.9922698598836039	0.0021279794308704	2	7423	0.5305126993748333
chr4	107178399	107218060	+	['Tmem59' 'Ldlrad1']	0.8102811165871429	0.0017018630042720001	2	39661	0.5269419565382791
chr6	116208038	116409540	+	['March8' 'Washc2' 'Zfand4']	0.9123231804175255	0.0017068353214730776	3	201502	0.5255176682038444
chr9	65294260	65380377	+	['Gm39363' 'Pdcd7' 'Ubap1l' 'Clpx']	0.8462288654204874	0.0012274325310195678	4	86117	0.5201128174327517
chr1	156653617	156719086	-	['Tor3a' 'Fam20b']	0.8259283664886109	0.0019446807165455437	2	65469	0.5193378125994685
chr8	3493138	3544267	+	['Zfp358' 'Mcoln1' 'Pnpla6']	0.9661706792056659	0.0011880714040720115	3	51129	0.5152207635999125
chr1	131797381	131872887	+	['Pm20d1' 'Slc41a1' 'Rab29']	0.9092714593124205	0.0010038756936973825	3	75506	0.508724730540382
chr3	67430096	67478818	+	['Gfm1' 'Gm42568']	0.9551353413629464	0.0014341127358738779	2	48722	0.5058602674914836
chr9	86554377	86695953	-	['Pgm3' 'Me1']	0.8098777848596401	0.0012118263542674566	2	141576	0.5039144989678571
chr1	194650319	194680565	+	['Gm37783' 'Gm37674' 'Gm38036']	0.8980684456060116	0.00212708258091445	3	30246	0.5028684537759968
chr1	36471620	36528237	+	['Cnnm4' 'Cnnm3']	0.7512570791910023	0.0019501207140230534	2	56617	0.49963773672171474
chr17	35956819	35980236	-	['Abcf1' 'Prr3']	0.9382246634036073	0.0018067241673507487	2	23417	0.49868360481179036
chr7	112225856	112591692	+	['Parva' 'Mical2']	0.7916478018551663	0.0020956860842925233	2	365836	0.4960884130989158
chr7	80325292	80405436	-	['Unc45a' 'Man2a2' 'Fes' 'Furin']	0.8738760226270187	0.001741762878321933	4	80144	0.48751581449708126
chr11	100462614	100528000	-	['Acly' 'Klhl11']	0.8748938513148892	0.0012937368426537061	2	65386	0.48687587208321464
chr2	173110818	173159273	+	['Ctcflos' 'Pck1']	0.6789162165029912	0.0015063478768837144	2	48455	0.4827120931247705
chr11	60199089	60352905	-	['Tom1l2' 'Srebf1']	0.8919539223553719	0.002900634983232145	2	153816	0.4818672678909873
chr11	101246028	101277409	+	['Wnk4' 'Ramp2']	0.7825573055114816	0.0010112694543341614	2	31381	0.4808822046684939
chr11	120780746	120824547	-	['Rfng' 'Dus1l' 'Fasn']	0.8017763526175458	0.001998980110008926	3	43801	0.4735218161594802
chr9	108662088	108750436	+	['Prkar2a' 'Slc25a20']	0.969002180777422	0.0012362899188578368	2	88348	0.46198275861089894
chr3	89164795	89182765	+	['Clk2' 'Scamp3']	0.9870108828358137	0.0018852206390211138	2	17970	0.45977224126801974
chr4	103313812	103492040	+	['Oma1' 'Gm12718']	0.6849399272450398	0.003077319740069506	2	178228	0.45797413184466157
chr2	129065942	129134134	+	['Ttl' 'Polr1b' 'Chchd5']	0.807514647391537	0.0015342572803097455	3	68192	0.456817872692269
chr11	82802449	82908411	-	['Rffl' 'Rad51d' 'Nle1']	0.9070873969067366	0.0011346616823050151	3	105962	0.4463613534616687
chr5	92555069	92606579	+	['Fam47e' 'Stbd1']	0.7006258843004065	0.004034364693792808	2	51510	0.43814224260159695
chr17	28232700	28331033	+	['Ppard' 'Fance' 'Rpl10a']	0.9022917715225051	0.004621129298135947	3	98333	0.42735869891780054
chr10	80755206	80829290	+	['Sf3a2' 'Amh' 'Oaz1' 'Dot1l']	0.9759515805661106	0.0013447365924546836	4	74084	0.42442313392548264
chr16	91372783	91425834	+	['Ifnar2' 'Il10rb']	0.9525216495732151	0.0026993072188335925	2	53051	0.4243334492193287
chr11	70943058	71019841	-	['Nup88' 'C1qbp' 'Dhx33' 'Derl2']	0.9170960487162857	0.001180707597714059	4	76783	0.421276700339141
chr15	98645134	98677461	-	['Rnd1' 'Ddx23']	0.8545250958392483	0.0014544973432943065	2	32327	0.4202156374466057
chr15	81745057	81826863	+	['Tef' 'Zc3h7b']	0.7677532270670211	0.0045081182246591595	2	81806	0.419926132328636
chr15	75940952	75999154	+	['Zfp707' 'Mapk15' 'Zfp623']	0.9318557954158632	0.0011362033137587233	3	58202	0.4179484379058553
chr7	110800432	110863239	-	['Rnf141' 'Lyve1']	0.7278852218166618	0.0027854899813679153	2	62807	0.4172916719640282
chr2	152226839	152313996	+	['Csnk2a1' 'Tbc1d20']	0.9401525360685332	0.00130979641221987	2	87157	0.4148013273154505
chr10	59702477	59899302	+	['Micu1' 'Dnajb12']	0.8226580949888977	0.0010473781252050445	2	196825	0.41434018326503697
chr7	107567446	107748583	+	['Olfml1' 'Ppfibp2']	0.9348085051208908	0.0010313914032021704	2	181137	0.41015065886556107
chr11	115163341	115247023	+	['Tmem104' 'Slc9a3r1']	0.9366962579389022	0.0018403174628254253	2	83682	0.40985882834344284
chr19	31868764	31952361	+	['A1cf' '9130016M20Rik']	0.9642697069372077	0.0023715795217853653	2	83597	0.40950837391690786
chr9	20873808	20976781	-	['S1pr2' 'Angptl6' 'Eif3g' 'Dnmt1']	0.8891024699194737	0.0013369831211817733	4	102973	0.4060963723629318
chr13	41236345	41276577	+	['Smim13' 'Gm32063']	0.9157050509467053	0.0040398505613091	2	40232	0.40178423874827535
chr10	93453411	93519304	+	['Lta4h' 'Hal']	0.913327401407499	0.004497390161870831	2	65893	0.3965392188757262
chr17	46646229	46683111	+	['Mea1' 'Mrpl2' 'Cul7']	0.7642509830842549	0.0013708107986600438	3	36882	0.39519764315629513
chr2	93661028	93849943	-	['Ext2' 'Accs']	0.7110799254071818	0.0012126325758666553	2	188915	0.3933839618525733
chr8	45241174	45411080	-	['F11' 'Klkb1' 'Gm45753' 'Cyp4v3' 'Fam149a' 'Tlr3']	0.8292607337984687	0.0025786133828461233	6	169906	0.3910799724946062
chr16	77539882	77564765	+	['Gm36963' 'Gm37606']	0.7163875360643767	0.001657060488458925	2	24883	0.3895746640092297
chr3	41477577	41493192	-	['Platr4' 'Gm40040']	0.9768614679487703	0.0022934935378391315	2	15615	0.3797349578550672
chr1	55052770	55091307	+	['Coq10b' 'Hspe1']	0.7099099287325936	0.004914622411720929	2	38537	0.37949416729849905
chr19	18631950	18718428	+	['Nmrk1' 'Carnmt1' 'D030056L22Rik']	0.7223600672918257	0.0011610900330507482	3	86478	0.37637362128720286
chr14	37054830	37073743	+	['Lrit1' 'Lrit2']	0.675975063464787	0.0036903503400391325	2	18913	0.37107634499226316
chr8	90828352	91123844	+	['Chd9' 'Rbl2']	0.9029792574641089	0.001184564809979022	2	295492	0.3702438957530763
chr13	23806993	23895730	+	['Slc17a2' 'Slc17a3' 'Slc17a1']	0.8891460630201151	0.0015486893186686737	3	88737	0.3633314460458905
chr19	10199132	10240748	-	['Fen1' 'Myrf']	0.7652724862201956	0.001027791799408213	2	41616	0.3607260288665845
chr4	96516138	96591578	-	['Cyp2j6' 'Cyp2j9']	0.8380252511046078	0.0026968030108446258	2	75440	0.3604728623964418
chr5	108629770	108706924	+	['Tmem175' 'Idua' 'Fgfrl1']	0.8214536976964043	0.0016172171859406587	3	77154	0.35757054693847856
chr15	103313895	103366763	-	['Zfp385a' 'Itga5']	0.8006907826729429	0.003463578954215058	2	52868	0.35198306180097577
chr1	180165238	180263438	-	['Coq8a' 'Gm37336' 'Psen2']	0.6625532373566193	0.0035923956916785195	3	98200	0.34664126822755725
chr9	79755361	79793507	-	['Cox7a2' 'Tmem30a']	0.9202587960470918	0.001202473982945875	2	38146	0.33310664833031306
chr8	70723720	70758677	+	['Pde4c' 'Rab3a']	0.9295972424969338	0.0011224494844472425	2	34957	0.3279648775561672
chr11	5498840	5525893	+	['Gm11963' 'Xbp1']	0.8233558791456355	0.001441475835849554	2	27053	0.32377687228293794
chr14	20455260	20641063	-	['Anxa7' 'Mss51' 'Ppp3cb' 'Usp54']	0.8037726529702639	0.001206176209525213	4	185803	0.3224588859096715
chr2	92093117	92385708	+	['1700029I15Rik' 'Phf21a' 'Pex16']	0.9529700971352005	0.0010211792108751607	3	292591	0.3217671005660975
chr11	48800332	48852209	+	['Rack1' 'Trim7']	0.7970400675015581	0.0012444953337893581	2	51877	0.3200304191741465
chr12	103614786	103657212	-	['Serpina10' 'Serpina6']	0.784370711907155	0.0019233097284452863	2	42426	0.3187716575027724
chr12	73901375	73988966	+	['Snapc1' 'Hif1a']	0.8534238800118596	0.0011597944520925268	2	87591	0.3184701565596392
chr19	41845972	41896173	-	['Frat2' 'Rrp12']	0.504536666791814	0.002408971612131878	2	50201	0.31843415900506583
chr1	185332149	185428360	+	['Bpnt1' 'Eprs']	0.9067757455094168	0.002986601905717366	2	96211	0.3138554965014579
chr1	171839697	171898237	+	['Cd84' 'Gm10521']	0.6150899273763493	0.0016936136674750519	2	58540	0.311187786736229
chr9	106170928	106215389	+	['Wdr82' 'Twf2']	0.7842201298505199	0.0016694253120672204	2	44461	0.29995494826684826
chr1	43741961	43827800	-	['Gm29155' 'Uxs1']	0.8157184476202619	0.002015654038164722	2	85839	0.299133347201608
chr7	141447370	141493427	+	['Rplp2' 'Pnpla2' 'Cracr2b' 'Cd151' 'Tspan4']	0.7874864658311627	0.007510288450446023	5	46057	0.2934110979391534
chr9	46232933	46242032	-	['Apoc3' 'Gm47528']	0.9548060627157212	0.001258886070945	2	9099	0.28591901942538367
chr7	19530800	19750483	-	"['Ppp1r37' 'Gemin7' 'Clasrp' 'Relb' 'Clptm1' 'Apoc2' 'Gm44805' 'Apoc4'
 'Apoc1' 'Apoe' 'Tomm40' 'Nectin2']"	0.8728026874540147	0.0011933117847363589	12	219683	0.28324377091735553
chr8	117661399	117677209	-	['Sdr42e1' 'Gm31717']	0.9542774957740726	0.0020138333512928954	2	15810	0.2785864860962365
chr1	74236084	74353694	+	['Arpc2' 'Pnkd']	0.810933976093076	0.00144111007085429	2	117610	0.27495818284831053
chr11	73177083	73224511	+	['Tax1bp3' 'Shpk']	0.8721605641323299	0.0011893446200467804	2	47428	0.2628070712004989
chr17	33329342	33394641	-	['Zfp81' 'Zfp101']	0.6251503193713108	0.0012206400113543108	2	65299	0.2578764120630506
chr15	75884137	75929832	-	['Mroh6' 'Naprt' 'Eef1d' 'Pycrl' 'Tsta3']	0.91246651978208	0.002198050519563451	5	45695	0.25207436139224365
chr2	104095801	104124749	+	['Cd59a' 'A930018P22Rik']	0.8716215602178021	0.0064795855877553335	2	28948	0.24723321201099113
chr6	15720661	15813058	+	['Mdfic' 'Gm43924']	0.9576193468235416	0.0012968711420357508	2	92397	0.24361435133895631
chr10	127801152	127877317	+	['Rdh16f2' 'Rdh16']	0.723453017049426	0.00436352296324311	2	76165	0.23952546108894127
chr8	70758649	70805054	-	['Ifi30' 'Pik3r2' 'Mast3' 'Mpv17l2']	0.9039445055153533	0.0011273078466425414	4	46405	0.22298181981681456
chr12	118231595	118301440	-	['Sp4' 'Gm49602']	0.7182944445129666	0.00111204881114135	2	69845	0.21609940451258006
chr13	37616964	37667734	-	['Gm40916' 'AI463229' 'Gm40915']	0.7659195922211733	0.003122598058469266	3	50770	0.2049454049529394
chr19	46044886	46085530	+	['Nolc1' 'Pprc1']	0.7764769988390643	0.005829222019042685	2	40644	0.19997595900670717
chr1	186711218	186749358	-	['Gm37849' 'Rrp15']	0.7144653863055179	0.0017025718479280892	2	38140	0.19743523929568427
chr3	89391850	89469013	+	['Gm15417' 'Shc1' 'Pygo2' 'Pbxip1' 'Pmvk']	0.8602796713164634	0.001229327544787487	5	77163	0.19475132631118233
chr11	101425085	101471853	+	['Rnd2' 'Rundc1' 'Rpl27' 'Ifi35']	0.871695221176261	0.0021003339912808445	4	46768	0.19428893126985272
chr11	95337018	95391776	+	['Fam117a' 'Slc35b1']	0.6354497139747857	0.00100761610891042	2	54758	0.18009547899300538
chr11	59775286	59839838	-	['Gm12264' 'Pld6' 'Flcn' 'Cops3']	0.8001178060787227	0.00365626388946439	4	64552	0.1659049520855425
chr18	20944625	21028224	+	['Rnf138' 'Rnf125']	0.7132269651133467	0.0020458299937300534	2	83599	0.16492375064609766
chr5	148871584	148996566	-	['Katnal1' 'Gm15406']	0.7183679066552968	0.0013812526164775436	2	124982	0.15475820671883708
chr7	88278085	88315864	+	['Ctsc' 'Gm44751']	0.9395474744746659	0.001472927332800172	2	37779	0.14698600192569988
chr5	139377697	139415623	+	['Gpr146' 'C130050O18Rik']	0.6921615438375676	0.0016157486143206334	2	37926	0.14239647288779006
chr6	72097592	72167707	+	['St3gal5' 'Gm38832']	0.7740873829530918	0.002336746641441622	2	70115	0.12999245706393264
chr9	50488795	50555181	-	['Plet1os' 'Pts' 'Bco2']	0.9363811884059619	0.0019959525982670982	3	66386	0.12882094664364446
chr10	105505804	105534493	-	['Gm15666' 'Gm48204' 'Gm48207']	0.7314744931145271	0.001462861358481533	3	28689	0.12852372709899168
chr11	51685386	51763634	-	['Sec24a' '0610009B22Rik']	0.9661097400455325	0.0012646248344826308	2	78248	0.12184381991808405
chr12	24974925	25067478	+	['Kidins220' 'Gm47701']	0.9730500654117289	0.0012958051258732022	2	92553	0.11341547661886425
chr9	95554497	95568023	+	['Paqr9' 'Gm32281']	0.8295129889541055	0.002524506120852958	2	13526	0.10798305553951562
chr17	46500572	46556175	-	['Cul9' 'Srf']	0.8586800391830179	0.001378728523623602	2	55603	0.10372146746147257
chr2	104027721	104067486	+	['Fbxo3' 'Gm10912']	0.9713307053647467	0.0024000319639009417	2	39765	0.1036518925041834
chr9	73101836	73134921	+	['Khdc3' 'Rsl24d1' 'Gm38215']	0.7898429389097789	0.001162195048469713	3	33085	0.09535894329771576
chr6	90462576	90600203	+	['Klf15' 'Aldh1l1']	0.8156954149027211	0.0018871618319316272	2	137627	0.07433551146619272
chr7	45627488	45646521	+	['Rasip1' 'Mamstr']	0.7899344121684546	0.0025456455671771013	2	19033	0.06823359274913593
chr13	4049011	4100831	+	['Akr1c14' 'Gm47905']	0.6834541997094108	0.002340732488833091	2	51820	0.06449011521459225
chr5	24418241	24451709	-	['Cdk5' 'Fastk' 'Tmub1' 'Gm10472']	0.9378818717873726	0.0010893208253596979	4	33468	0.06417394354004075
chr12	104236245	104253669	+	['Serpina3g' 'Serpina3h']	0.6045362921462801	0.0022624353584462797	2	17424	0.060922088579085515
chr2	76629898	76673116	-	['Prkra' 'Fkbp7']	0.8054076191730466	0.0012060534407096557	2	43218	0.05885423192880914
chr15	58028243	58135082	-	['Gm29394' 'Atad2']	0.8051580043029141	0.0010119381461675808	2	106839	0.032892271662139705
chr7	79277767	79302926	+	['Gm44639' 'Gm39041']	0.82079125806167	0.001749038127103825	2	25159	0.0290432878292695
chr10	40280683	40302188	-	['Amd1' 'Gm47867']	0.9577481074813452	0.0026024620277281356	2	21505	0.02450350769953226
chr4	151003652	151057963	-	['Per3' 'Vamp3']	0.7437490729644596	0.0021983201094454823	2	54311	0.02358938158194343
chr1	130717327	130744622	+	['Yod1' 'AA986860']	0.8419546829335446	0.0032117177751887415	2	27295	0.01723432118293746
chr2	165374264	165400405	-	['Zfp334' 'Ocstamp']	0.6909550007710165	0.0025244919489256536	2	26141	0.017230124305757006
chr12	99359871	99369913	-	['Gm47139' 'Gm47138']	0.9995200892297068	0.001204005323856925	2	10042	0.01098539167942003
chr7	30308717	30323472	+	['Alkbh6' 'Syne4' 'E130208F15Rik']	0.898815616237654	0.0013485250725403782	3	14755	-0.010422866540451424
chr9	72985429	73042779	+	['2310009A05Rik' 'Ccpg1' 'Gm38192']	0.9002660133677338	0.0019283714030096186	3	57350	-0.020041190879153906
chr3	145922804	145944829	+	['2410004B18Rik' 'Bcl10']	0.9064131837017411	0.0037590384680746807	2	22025	-0.028641532587102506
chr3	89202928	89213164	+	['Gba' 'Gm43737']	0.9072153178366978	0.0013819176809591748	2	10236	-0.04151419800932096
chr14	18267823	18331859	-	['Ube2e1' 'Rpl15']	0.9598555321515934	0.0012397000787611261	2	64036	-0.08137494292307393
chr3	95871522	95898288	+	['C920021L13Rik' 'Aph1a']	0.8069267560236968	0.0016738481894082934	2	26766	-0.0883066392667666
chr12	87221040	87266256	-	['Noxred1' 'Vipas39']	0.7514779665134382	0.002232158084456452	2	45216	-0.0901797534261984
chr10	40219583	40258108	-	['Gm37786' 'Rpf2' 'Gtf3c6']	0.9108252741682988	0.0017333772670115987	3	38525	-0.1819168386765332
chr2	12372212	12392483	-	['Gm37255' 'Gm38014']	0.8923028637586983	0.0013553356936157	2	20271	-0.232208833929685
chr10	122448499	122456809	+	['Avpr1a' 'Gm48878']	0.8428577456730673	0.0035578036042952623	2	8310	-0.25863148012165077
chr17	35424850	35443773	+	['H2-Q6' 'H2-Q7']	0.6284151100224522	0.0011074609275461265	2	18923	-0.2621449735009196
chr11	101316213	101329702	+	['Psme3' 'Aoc2']	0.9834587431689592	0.0026496497490166747	2	13489	-0.2787712510604151
chr6	85808024	85832082	-	['Nat8f6' 'Nat8']	0.5402687748053676	0.002946943599760655	2	24058	-0.29418442577439047
chr3	83007724	83033627	+	['Fgg' 'Fga']	0.9603350778656454	0.0013020709749462312	2	25903	-0.32920633440275654
chr1	156856217	156876120	-	['Gm37802' 'Gm37943']	0.7482023610958858	0.0011599572364859667	2	19903	-0.3522771617405258
chr9	121843822	121858362	-	['Gm47111' 'Higd1a']	0.9869265933393877	0.0013833231978570416	2	14540	-0.7019828033155548
